qc.sample_name	Gender	facepheno.Age	Xc	Yc
187525458_S1	Female	24	2.014882103	0.003285659
187525459_S1	Female	19	1.998103546	0.003413617
187525460_S1	Female	19	2.020472997	0.004235792
187525461_S1	Female	29	2.001133466	0.003022575
187525462_S1	Male	34	1.002495371	1.007325123
187525463_S1	Female	29	2.004239329	0.003853936
187525464_S1	Female	27	2.010150444	0.003262643
187525465_S1	Male	25	1	1.005689207
187525466_S1	Female	21	2.001029778	0.003089333
187525467_S1	Male	21	1.006500542	1.003033586
187525468_S1	Female	26	2.003997567	0.003823759
187525469_S1	Female	27	2.001611171	0.003222342
187525470_S1	Male	26	1.007763713	1.008438819
187525471_S1	Female	40	1.996653342	0.003718509
187525472_S1	Male	61	1.010768126	0.997025946
187525473_S1	Female	40	1.999470011	0.003533257
187525474_S1	Female	53	1.98625753	0.003388554
187525475_S1	Female	48	1.704597827	0.295841106
187525476_S1	Male	46	1.017989225	1.00264816
187525477_S1	Female	58	1.993180306	0.003992016
187525478_S1	Female	30	2.011081667	0.003212077
187525479_S1	Female	23	2.00230858	0.004232397
187525480_S1	Male	50	1.001091504	1.000363835
187525481_S1	Male	34	1.009066488	1.007051713
187525482_S1	Female	29	2.000991179	0.003370007
187525483_S1	Female	45	1.991841914	0.003625816
187525484_S1	Male	31	1.003894616	1.001603666
187525485_S1	Female	23	1.995305164	0.00288913
187525486_S1	Female	46	2.003716321	0.003716321
187525488_S1	Male	35	1.004832749	1.007106984
187525489_S1	Female	61	2.00086949	0.003477958
187525490_S1	Male	56	0.999407432	1.000931178
187525491_S1	Female	19	2.011896431	0.004665267
187525492_S1	Female	50	1.996991275	0.004011634
187525493_S1	Male	19	1.006229317	1.00506132
187525494_S1	Female	28	2.016559177	0.003486143
187525495_S1	Female	56	1.980902072	0.004063389
187525496_S1	Male	22	1.006337136	1.010561893
187525497_S1	Female	28	2.012483039	0.004341927
187525498_S1	Male	66	1.006207827	0.83202879
187525500_S1	Female	55	1.995701446	0.003516999
187525501_S1	Female	55	2.006824192	0.003412096
187525502_S1	Male	65	1.003519268	1.000175963
187525503_S1	Female	56	1.99522293	0.003582803
187525505_S1	Female	29	2.001743983	0.003487967
187525506_S1	Female	20	2.026968411	0.003394625
187525507_S1	Female	26	2.01281456	0.003714365
187525508_S1	Female	26	2.012707522	0.004099201
187525509_S1	Female	59	1.99963755	0.002899601
187525510_S1	Male	30	1.004646613	1.011494253
187525511_S1	Female	55	1.99946082	0.003594536
187525512_S1	Female	22	2.00326146	0.003986229
187525513_S1	Female	53	1.995161828	0.003503504
187525514_S1	Male	67	1.002766507	0.990040575
187525515_S1	Female	27	1.992051225	0.003974387
187525516_S1	Female	55	1.989191276	0.003474233
187525517_S1	Female	37	1.994436718	0.003708855
187525518_S1	Male	57	1.00675394	1.009088635
187525519_S1	Male	47	1.007182471	1.001545595
187525520_S1	Female	19	2.009757894	0.003682224
187525521_S1	Male	25	1.006995282	1.009110135
187525522_S1	Female	49	2.000675619	0.004053712
187525523_S1	Female	37	1.994374939	0.004267287
187525524_S1	Male	24	1.007489835	1.005135887
187525525_S1	Female	36	2.018027685	0.004292306
187525526_S1	Male	24	1.007801744	1.009637448
187525527_S1	Female	41	2.007671817	0.004901438
187525528_S1	Female	40	2.012108981	0.004036327
187525529_S1	Male	51	1.007532957	1.006403013
187525530_S1	Male	63	1.009712929	0.990071228
187525531_S1	Female	32	2.005273415	0.005044136
187525533_S1	Female	26	2.007345576	0.004451864
187525583_S1	Male	20	1.005931418	1.006302132
187525595_S1	Female	27	2.006727345	0.004748714
187525631_S1	Female	46	2.007544658	0.005325641
