visit1	Best Match	Group	Score
dynamic.FACE.voice.v1_visit1.complete.coeff75	dynamic.FACE.voice.v1_visit2.complete.coeff75	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff77	dynamic.FACE.voice.v1_visit2.complete.coeff77	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff71	dynamic.FACE.voice.v1_visit2.complete.coeff71	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff73	dynamic.FACE.voice.v1_visit2.complete.coeff73	voice.v1	100
dynamic.FACE.face_lmdist.v1_visit1.CPHR_CPHL	dynamic.FACE.face_lmdist.v1_visit2.CPHR_CPHL	face_lmdist.v1	100
dynamic.FACE.face_lmdist.v1_visit1.N_SN	dynamic.FACE.face_lmdist.v1_visit2.N_SN	face_lmdist.v1	100
dynamic.FACE.face_lmdist.v1_visit1.N_ST	dynamic.FACE.face_lmdist.v1_visit2.N_ST	face_lmdist.v1	100
dynamic.FACE.face_lmdist.v3_visit1.PRN_IRL	dynamic.FACE.face_lmdist.v3_visit2.PRN_IRL	face_lmdist.v3	100
dynamic.FACE.voice.v1_visit1.complete.coeff78	dynamic.FACE.voice.v1_visit2.complete.coeff78	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff74	dynamic.FACE.voice.v1_visit2.complete.coeff74	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff76	dynamic.FACE.voice.v1_visit2.complete.coeff76	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff70	dynamic.FACE.voice.v1_visit2.complete.coeff70	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff72	dynamic.FACE.voice.v1_visit2.complete.coeff72	voice.v1	100
dynamic.FACE.face_lmdist.v3_visit1.PSL_PIL	dynamic.FACE.face_lmdist.v3_visit2.PSL_PIL	face_lmdist.v3	100
dynamic.FACE.voice.v2_visit1.complete.coeff61	dynamic.FACE.voice.v2_visit2.complete.coeff61	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff60	dynamic.FACE.voice.v2_visit2.complete.coeff60	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff62	dynamic.FACE.voice.v2_visit2.complete.coeff62	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff65	dynamic.FACE.voice.v2_visit2.complete.coeff65	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff64	dynamic.FACE.voice.v2_visit2.complete.coeff64	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff67	dynamic.FACE.voice.v2_visit2.complete.coeff67	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff66	dynamic.FACE.voice.v2_visit2.complete.coeff66	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff69	dynamic.FACE.voice.v2_visit2.complete.coeff69	voice.v2	100
dynamic.FACE.face_lmdist.v1_visit1.CHR_CHL	dynamic.FACE.face_lmdist.v1_visit2.CHR_CHL	face_lmdist.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff59	dynamic.FACE.voice.v1_visit2.complete.coeff59	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff58	dynamic.FACE.voice.v1_visit2.complete.coeff58	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff53	dynamic.FACE.voice.v1_visit2.complete.coeff53	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff52	dynamic.FACE.voice.v1_visit2.complete.coeff52	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff51	dynamic.FACE.voice.v1_visit2.complete.coeff51	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff50	dynamic.FACE.voice.v1_visit2.complete.coeff50	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff57	dynamic.FACE.voice.v1_visit2.complete.coeff57	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff56	dynamic.FACE.voice.v1_visit2.complete.coeff56	voice.v1	100
